gen,best,mean,std,spread,clear_rate,best_time,best_damage,best_acc,mean_acc,mean_peek_flips,mean_peek_hold,mean_cover_time,mean_aim_x_std,mean_aim_y_std,mean_aim_span_x,mean_aim_span_y,mean_aim_dx,mean_hit_delta,mean_shot_left_frac,mean_shot_mid_frac,mean_shot_right_frac,sigma_used
54,2525.33939393939,677.172262597405,826.09433482892,2440.73982128982,0.277777777777778,-922.666666666667,0,0.5,0.162079541074057,6.11111111111111,7.55555555555556,9.16666666666667,0.159745676884909,0.160813291735852,0.696935035943762,0.76532286464387,0.183844792007314,93.4440028449252,0.181349153446131,0.619877127922184,0.198773718631684,0.1
55,2051.95483870968,587.383446240338,749.050155094802,2281.26336584146,0.266666666666667,-434,0,0.25,0.144886546407523,5.54444444444444,7.28888888888889,8.42222222222222,0.15913910672472,0.165994990843935,0.670491478897603,0.774625889211054,0.187432057221548,86.9252120193746,0.200807797424312,0.604925905081512,0.194266297494177,0.1
56,2694.17777777778,418.860878905986,678.108004630758,2676.16528286528,0.133333333333333,-920,0,0.666666666666667,0.138910607139445,6.6,7.97777777777778,10,0.162516688778056,0.160552924219459,0.722800066003348,0.76060358702196,0.189041981379561,97.005138777085,0.198157492438698,0.636950360866191,0.164892146695112,0.1
57,2135.08278785352,480.397474485781,673.477501186237,2085.59017340812,0.177777777777778,-430.666666666667,0,0.444444444444444,0.127188184729747,6.78888888888889,8.28888888888889,10.3,0.16085810893594,0.163467949487127,0.695453636252238,0.778022319129725,0.18701057239539,102.357310500091,0.177141694978443,0.62560124760333,0.197257057418227,0.1
58,2174.97544973545,631.588500588634,728.40851306665,2066.08574783843,0.266666666666667,-674.666666666667,0.333333333333333,0.416666666666667,0.154752803645185,6.61111111111111,7.84444444444445,10.0555555555556,0.16393966746807,0.161639984138947,0.707924146121996,0.745291562041541,0.18928408743149,88.3754165402767,0.166013311633213,0.654613050922374,0.179373637444413,0.1
59,2659.21709401709,814.762118844723,897.991363510676,2883.86894586895,0.366666666666667,-886,0,0.755555555555556,0.191269000630403,5.8,7.37777777777778,8.75555555555556,0.162018772829143,0.158205812771309,0.682852857348623,0.71332927909331,0.187985166203122,78.5735639795133,0.182023265861441,0.611518865983439,0.20645786815512,0.1
60,2485.85777777778,621.016126262456,805.925639619692,2398.97805407829,0.233333333333333,-840,0,0.5,0.174213345730673,6.15555555555556,7.91111111111111,9.47777777777778,0.164459458758491,0.161225822032153,0.721589326845564,0.772323169303669,0.190304467627526,88.5975472494581,0.145900930344683,0.653129161049653,0.200969908605664,0.1
61,2202.43578643579,552.700348951932,663.635843928694,2111.54382062382,0.255555555555556,-666,0,0.444444444444444,0.150130632753911,6.48888888888889,8.08888888888889,9.83333333333334,0.164148941501489,0.165876511988215,0.706325405265397,0.794987091864071,0.191900710310581,93.5611319374178,0.189498492332712,0.61699609227086,0.193505415396428,0.1
62,1988.79166666667,587.842501803082,688.576874642912,1947.44563492064,0.266666666666667,-410,0,0.25,0.149570450283721,6.33333333333333,7.84444444444444,9.54444444444445,0.161144600897526,0.163386103448335,0.684328156786086,0.785440588028899,0.187842649305216,89.3355543425626,0.147594835805265,0.642331246251039,0.210073917943696,0.1
63,1951.83927272727,331.187003584501,514.651680881465,2020.86558851675,0.1,-590,0,0.272727272727273,0.122236320135297,6.57777777777778,8.08888888888889,9.88888888888889,0.167051890926056,0.161438574698455,0.71235970673676,0.782448785765989,0.191331561029757,99.1294543587707,0.179429553490935,0.587759833185664,0.232810613323401,0.1
64,2188.72,357.947859755131,510.624835762005,2200.41893529894,0.133333333333333,-713.333333333333,0,0.375,0.13520148883666,6.37777777777778,7.84444444444445,9.66666666666667,0.168631618853573,0.163363936864175,0.719845044673145,0.786933267349895,0.19641772711997,102.420689429231,0.168100580585214,0.623679795724344,0.208219623690441,0.1
65,2709.4358974359,747.917706920687,885.203066121188,2594.39352680343,0.3,-892,0,0.8,0.200334287918492,6.02222222222222,7.6,9.12222222222222,0.169824508393982,0.161866150168207,0.695664421189222,0.771593208798746,0.196272731399552,84.8914304239366,0.160511706724945,0.615348967278049,0.224139325997006,0.1
66,2540.46666666667,603.988935743724,763.395138177686,2470.38731723114,0.233333333333333,-812,0,0.666666666666667,0.180689447359917,6.52222222222222,8.11111111111111,9.93333333333333,0.165418317869101,0.164289848240501,0.711903466377566,0.769276180163357,0.189725470683712,91.5079250467514,0.162080286027548,0.603898624289091,0.234021089683362,0.1
67,2505.88571428571,578.603546541588,740.835934080723,2486.54901394901,0.211111111111111,-860,0,0.5,0.164971648446619,6.04444444444445,7.62222222222222,9.1,0.167266548282141,0.161360439311574,0.718097075722813,0.783863159935653,0.196029198506392,89.3122121628452,0.150725783912113,0.626416032930314,0.222858183157573,0.1
68,2491.45128205128,922.093094001887,969.44026241413,2579.79108003108,0.4,-890,0,0.5,0.211699493425144,4.77777777777778,6.26666666666667,7.24444444444444,0.169438045696531,0.164258254876037,0.696045505095358,0.722967069533529,0.197046914388141,79.2460864851583,0.161818860803132,0.633139541339783,0.205041597857085,0.1
69,2425.02857142857,638.878065944327,811.575168984949,2301.49314882648,0.255555555555556,-868,0,0.5,0.185966576672058,5.96666666666667,7.46666666666667,9.07777777777778,0.167950175046879,0.163465670098617,0.717019035707434,0.790714807084141,0.193310981493637,91.0788819117355,0.19209414222265,0.574722880421149,0.233182977356201,0.1
70,2444.17333333333,751.606608357862,806.488212846572,2310.58979423868,0.322222222222222,-842,0,0.5,0.187523334449764,6.21111111111111,7.75555555555556,9.55555555555556,0.16787582299271,0.163768115104728,0.710613680284585,0.753277649126442,0.195962002748452,82.8926883654235,0.184562105816641,0.608576267986418,0.206861626196941,0.1
71,2690.48888888889,588.344190584292,766.884168386495,2914.48126984127,0.233333333333333,-916,0,0.666666666666667,0.161123160579044,6,7.55555555555556,9.12222222222222,0.172508980560581,0.16525730667857,0.75437028288455,0.768771871419352,0.199729478214019,89.5355374310785,0.190937887680623,0.609166279587635,0.199895832731743,0.1
72,2565.98461538462,565.387892923987,793.114318849914,2479.3259608133,0.211111111111111,-894,0,0.6,0.148604816123504,5.82222222222222,7.42222222222222,8.96666666666667,0.17015743893855,0.161188934883131,0.717453532000873,0.744195770231794,0.199745349837527,100.373182894841,0.165356261178153,0.621326983692354,0.213316755129493,0.1
73,2445.65777777778,868.721392066274,854.100680544239,2327.20797470999,0.4,-844,0,0.5,0.188327677242735,5.58888888888889,7.11111111111111,8.56666666666667,0.173978713485065,0.157786139962527,0.728064016881317,0.729051967102296,0.207552293657099,73.6447045997042,0.190610694807048,0.57979508505691,0.229594220136043,0.1
74,2135.18181818182,484.229739754388,634.100057072843,2020.08980114536,0.2,-666,0,0.375,0.151250705535077,6.37777777777778,8.13333333333333,9.63333333333333,0.172869915465307,0.163350551054046,0.749237467681405,0.752392674856936,0.204664910625089,102.956728856382,0.175893153287219,0.613029627611416,0.211077219101365,0.1
75,2078.62217782218,703.070792149461,777.573249803365,1969.46925838389,0.333333333333333,-375.333333333333,0,0.366666666666667,0.165123398148584,6.25555555555556,7.86666666666667,9.53333333333333,0.174031766863759,0.160386027038821,0.738376061653867,0.740637471967696,0.206977224918992,86.5980438520144,0.201998460382467,0.588133226942715,0.209868312674819,0.1
76,2462.39523809524,822.47034672792,812.587549420972,2341.48265273821,0.366666666666667,-868,0,0.5,0.199555968273502,5.35555555555555,7,8.07777777777778,0.174408834749227,0.161339664389095,0.718859830420906,0.753743376278347,0.209615419286727,79.2469262881756,0.183822153877425,0.60312542752071,0.213052418601864,0.1
77,2232.77777777778,451.432662690718,645.842942784439,2142.36966789544,0.144444444444444,-456,0,0.416666666666667,0.131302039613903,7.27777777777778,8.84444444444444,11.0333333333333,0.173319949022545,0.161833262905819,0.76605932396933,0.770439178111101,0.207291156319717,110.141804079982,0.191273064059072,0.591784969849116,0.216941966091812,0.1
78,1976.76565656566,663.921888544093,708.52484443094,1875.42531024531,0.3,-384,0,0.25,0.156586758203449,6.74444444444444,8.11111111111111,10.2444444444444,0.177095622485564,0.165540478145622,0.775915108884361,0.808112344856166,0.207752419103544,100.649842427948,0.199985588242284,0.614839258218622,0.185175153539094,0.1
79,2654.47948717949,825.375789837687,891.4236058344,2672.62898212898,0.366666666666667,-888,0,0.666666666666667,0.202508388137232,6.1,7.53333333333333,9.33333333333333,0.177068715362232,0.162108457868869,0.743542573043153,0.765103919041807,0.212895719533296,81.4897259518159,0.173139419494801,0.601443772888763,0.225416807616436,0.1
